,Distance_1,Distance_2,Distance_3,Distance_4,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
hamming,3.420765027322404,1.3195563935206553,0.9701801917030171,0.8281163584758279,0.43169398907103823,1.9453551912568305,0.27213114754098355,0.915,0.46241474080499756
euclidean,2.723926380368098,0.7108684828062526,0.3644388688212222,0.45486756844988524,0.49079754601226994,1.1042944785276074,0.22822085889570543,0.815,0.4688326886249979
manhattan,2.8011363636363638,0.7748984009239611,0.4173799726666987,0.4922442811959113,0.4318181818181818,1.1079545454545454,0.19204545454545463,0.88,0.34760121508499653
cosine,3.044943820224719,0.7919400706580801,0.40270482891024145,0.47733161333228047,0.5617977528089888,1.3314606741573034,0.2191011235955056,0.89,0.359155179899999
correlation,2.8588235294117648,0.7480597653290888,0.3807381804422619,0.4597739524909462,0.5294117647058824,1.3058823529411765,0.24117647058823533,0.85,0.3616611985700001
dice,3.814814814814815,1.4019673314067973,1.0344101213540602,0.7987651809875979,0.14814814814814814,2.2751322751322753,0.256084656084656,0.945,0.36851360591999766
GrowingSpheres,5.564417177914111,0.76985031910586,0.5792834194797838,0.5200980162121815,0.0,3.803680981595092,0.2024539877300613,0.815,0.021116456114996254
DiceResource,1.72,0.9751321026612766,0.7498374575842345,0.705132545676434,0.185,0.85,0.634,1.0,0.15394931382499635
hammingxspeed,3.5058823529411764,1.3548922060407298,1.0106079537044383,0.8523355716557299,0.4176470588235294,2.0647058823529414,0.31176470588235305,0.85,0.07650388987000042
euclideanxspeed,2.628787878787879,0.6553237085599457,0.32566776868712355,0.43730218472213683,0.5075757575757576,1.0151515151515151,0.2378787878787879,0.66,0.056337932469996306
manhattanxspeed,2.6285714285714286,0.7111741629177926,0.38963410689103767,0.48138928239949114,0.39285714285714285,1.0142857142857142,0.23571428571428577,0.7,0.06449874891000036
cosinexspeed,2.819548872180451,0.6735408715091872,0.33345270601586113,0.44762137225508425,0.518796992481203,1.112781954887218,0.24812030075187963,0.665,0.06010665930999494
correlationxspeed,2.7829457364341086,0.7088274263213782,0.3598964432590861,0.45187742634558453,0.5348837209302325,1.2635658914728682,0.2914728682170543,0.645,0.06000799483999799
CCHVAE,2.7829457364341086,0.7088274263213782,0.3598964432590861,0.45187742634558453,0.5348837209302325,1.2635658914728682,0.2914728682170543,0.645,0.06000799483999799
CRUD,8.38,3.621484920470076,2.8217134527826864,0.9259783141809703,1.31,8.375,1.0,1.0,6.642017916905006
Wachter,5.515,0.237595279911367,0.017125916226920654,0.040414248584925136,0.735,3.48,0.29000000000000004,1.0,0.0162532748600006
Revise,8.455,2.992418996496401,2.5603162318271835,0.9572430710432905,1.655,7.285,0.641,1.0,14.98552889826
